species,nombre_normalizado,habito_raw,forma,estatus,es_sinonimo,aceptado,forma_inconsistente
Apium flexuosum,apium flexuosum,Hierba,herbacea,endemica,True,Apium chilense,False
Ligusticum dumetorum,ligusticum dumetorum,Hierba,herbacea,endemica,True,Apium chilense,False
Ligusticum humile,ligusticum humile,Hierba,herbacea,endemica,True,Apium humile,False
Eryngium tricuspidatum,eryngium tricuspidatum,Hierba,herbacea,endemica,True,Asteriscium chilense,False
Asteriscium poeppigii,asteriscium poeppigii,Hierba,herbacea,endemica,True,Asteriscium chilense,False
Asteriscium pozoides,asteriscium pozoides,Hierba,herbacea,endemica,True,Asteriscium chilense,False
Dipterygia closii,dipterygia closii,Hierba,herbacea,endemica,True,Asteriscium closii,False
Bustillosia chilensis,bustillosia chilensis,Hierba,herbacea,endemica,True,Asteriscium closii,False
Asteriscium pungens,asteriscium pungens,Hierba,herbacea,endemica,True,Asteriscium closii,False
Huanaca acaulis,huanaca acaulis,Hierba,herbacea,nativa,True,Azorella acaulis,False
Lechleria palmata,lechleria palmata,Hierba,herbacea,nativa,True,Azorella acaulis,False
Huanaca bergii,huanaca bergii,Hierba,herbacea,nativa,True,Azorella acaulis,False
Huanaca geraniifolia,huanaca geraniifolia,Hierba,herbacea,nativa,True,Azorella acaulis,False
Huanaca cavanillesii,huanaca cavanillesii,Hierba,herbacea,nativa,True,Azorella acaulis,False
Spananthe huanaca,spananthe huanaca,Hierba,herbacea,nativa,True,Azorella acaulis,False
Oenanthe huanaca,oenanthe huanaca,Hierba,herbacea,nativa,True,Azorella acaulis,False
Mulinum albovaginatum,mulinum albovaginatum,Hierba,herbacea,endemica,True,Azorella albovaginata,False
Mulinum pauciflorum,mulinum pauciflorum,Hierba,herbacea,endemica,True,Azorella albovaginata,False
Azorellopsis trisecta,azorellopsis trisecta,Hierba,herbacea,endemica,True,Azorella albovaginata,False
Mulinum reichei,mulinum reichei,Hierba,herbacea,endemica,True,Azorella albovaginata,False
