run_id,family,substrate,alpha,beta_pa,beta_cover,phylo,dark,mean
C2D07_hilbert_kndvi_nperSample,C2D,hilbert,0.3308524049840884,0.42046589635583775,0.2750761675368202,0.13935408961664708,0.344621771762842,0.3020740660512471
C2D02_serpentine_kndvi_wA,C2D,serpentine,0.36972679521892193,0.434685030586033,0.24083490280232395,0.16507634316732414,0.2930760009650005,0.3006798145479207
C2D06_cwt_kndvi,C2D,cwt,0.39987879307517743,0.4235838826661391,0.2205135072214395,0.1653309644621381,0.29087343806496796,0.30003611709797245
C2D03_gaf_kndvi_raw36_ctxclim-topo-area,C2D,gaf,0.34266979240572243,0.41504214575404497,0.2811264484962963,0.1344857236448425,0.31562139029520997,0.29778910011922327
C1D01_curve1d_ndvi,C1D,curve1d,0.37012708278867285,0.4369967790014325,0.23434711731780344,0.1586421742761619,0.28567590084486233,0.29715781084578663
C2D02_serpentine_kndvi_nperSample,C2D,serpentine,0.3021739849968315,0.41446120134063746,0.2746814679906804,0.14237106611297318,0.33994782856106326,0.29472710980043715
C2D02_serpentine_kndvi_patchctx,C2D,serpentine,0.33025089524278534,0.4353025561078438,0.2551865785223282,0.12914439177634068,0.32364340011942644,0.2947055643537449
C1D01_curve1d_nbr_v2lin,C1D,curve1d,0.35202723818524617,0.4280634275095996,0.23902158905140272,0.15235856391515912,0.29564213581615145,0.2934225908955118
C1D01_curve1d_kndvi_v2lin,C1D,curve1d,0.35665421059233626,0.43506370821425694,0.22959338076735486,0.16125192537770192,0.2805333631258021,0.2926193176154904
C2D11_pxcube_kndvi,C2D,pxcube,0.36032546836461343,0.4314753796674682,0.22904552722137572,0.16095669314943878,0.2799986250565448,0.29236033869188816
C2D02_serpentine_kndvi_patch,C2D,serpentine,0.3332237796436576,0.4226440411346096,0.25063443181913436,0.12987192182488386,0.31325696948871,0.28992622878219904
C2D07_hilbert_kndvi_patchctx,C2D,hilbert,0.3329689379139775,0.4318762603066305,0.24393416366021928,0.13948976451058434,0.301142688053924,0.28988236288906716
C1D01_curve1d_kndvi,C1D,curve1d,0.3419280721969399,0.43058673863916097,0.23343291450516096,0.1534003577436926,0.28909988477164444,0.2896895935713198
C2D04_mtf_kndvi_raw36_ctxclim-topo-area,C2D,mtf,0.3641001993376836,0.38299343709072686,0.26217058607717764,0.13221706590986235,0.30303343014257217,0.2889029437116045
C2D10_stack5,C2D,stack5,0.32798113198505696,0.4335490109077228,0.23613214437365476,0.1572838504432343,0.2855330943135037,0.2880958464046345
C2D03_gaf_kndvi_raw68_ctxclim-topo-area,C2D,gaf,0.3202127222347315,0.4102452903313091,0.25851842703682215,0.13503347495201456,0.31206339367485547,0.28721466164594656
C2D07_hilbert_kndvi_patch,C2D,hilbert,0.3287069030454006,0.42287437422041213,0.24529198802082147,0.13198644799202872,0.30640484555169056,0.28705291176607073
C1D01_curve1d_ndvi_v2lin,C1D,curve1d,0.3606163518608823,0.4246054928697424,0.2150118626280727,0.1598101709804746,0.2736243358012935,0.28673364282809316
C1D01_curve1d_ndvi_v2,C1D,curve1d,0.3353851254588665,0.421310011266516,0.2162869184105491,0.1625841673836292,0.2700924477141034,0.28113173404673286
C1D01_curve1d_nbr_v2,C1D,curve1d,0.33706190413969284,0.4086194054101427,0.22144004543899523,0.15265112826289423,0.28337333864243575,0.2806291643788322
C1D01_curve1d_evi,C1D,curve1d,0.3473684033191062,0.41758595018306327,0.2160522911219955,0.14825304119952162,0.2692942033468721,0.27971077783411175
C2D07_hilbert_kndvi_none,C2D,hilbert,0.27901922860788353,0.4326186631865124,0.24392373968145226,0.12659576476294182,0.30836243912203654,0.27810396707216534
C1D01_curve1d_kndvi_v2,C1D,curve1d,0.3377937590759639,0.4181522877554344,0.20946779624673206,0.1614737841642061,0.26045017774855106,0.2774675609981775
C1D01_curve1d_evi_v2lin,C1D,curve1d,0.34054712303574725,0.4104353823227161,0.21410191333705086,0.14728408807151508,0.2698608047516519,0.27644586230373625
C1D01_curve1d_savi,C1D,curve1d,0.3472732866297012,0.4091243610499466,0.20502578914288203,0.14861352455096816,0.2670975104091766,0.2754268943565349
C1D01_curve1d_savi_v2lin,C1D,curve1d,0.3311438439635063,0.40971451961701466,0.20417018316770147,0.15407654534303492,0.2694626688017703,0.2737135521786055
C2D02_serpentine_kndvi_none,C2D,serpentine,0.2837376598182795,0.41733956563151264,0.22010448231756488,0.12144789343542683,0.32581611715701725,0.27368914367196023
