sample_id,X,Y,lon,lat,year,win_start,win_end,cell,mb_code,mb_class,mb_year_used,mb_delta,n_obs,DI,inside
U006754,292026.50342562934,6523014.415725686,-71.18765307749723,-31.40886442859192,2013,2011,2013,29_652,66,Shrubland,2013,0,112,0.06469455486378584,True
U006755,288576.3261993507,6518673.09979004,-71.22484658709848,-31.447380472560287,2013,2011,2013,29_652,12,Grassland,2013,0,116,0.03811282467014553,True
U006756,292930.6081331284,6517505.749487417,-71.17929801374623,-31.458692877082463,2013,2011,2013,29_652,12,Grassland,2013,0,121,0.08264480952275872,True
U006757,294883.1679908519,6517245.610575241,-71.15881463164699,-31.461386306730603,2021,2019,2021,29_652,66,Shrubland,2021,0,209,0.08412101728050779,True
U006758,293737.7408620459,6520748.089981981,-71.17013439543868,-31.42960383688258,2021,2019,2021,29_652,66,Shrubland,2021,0,192,0.10602456267462905,True
U006759,294301.75503110874,6522043.7722582165,-71.1639354771718,-31.41802208939559,2021,2019,2021,29_652,66,Shrubland,2021,0,204,0.0807315045527098,True
U006760,287896.08324079844,6516836.924958562,-71.23239309629294,-31.46381039341393,2021,2019,2021,29_652,66,Shrubland,2021,0,176,0.18374565263831366,True
U006761,291640.2852450372,6521811.766821913,-71.1919653684655,-31.41963814718447,2021,2019,2021,29_652,66,Shrubland,2021,0,187,0.043732380833795034,True
U006762,287649.2208264385,6518893.265788832,-71.23454924177707,-31.445225728841777,2021,2019,2021,29_652,66,Shrubland,2021,0,166,0.05296842652894331,True
U006763,285847.2236962172,6520529.438414788,-71.2531459965777,-31.430142522812208,2021,2019,2021,29_652,66,Shrubland,2021,0,135,0.05825980599193937,True
U006764,290375.2161613875,6520979.846101102,-71.20544127774131,-31.42691040723444,2021,2019,2021,29_652,12,Grassland,2021,0,188,0.0342944576367691,True
U006765,292944.794220504,6521957.208842102,-71.17821994100416,-31.41856077532521,2021,2019,2021,29_652,66,Shrubland,2021,0,189,0.07543174327345592,True
U006775,293084.51573644613,6527478.521751016,-71.17560221887953,-31.368804802324743,2010,2008,2010,29_653,66,Shrubland,2010,0,126,0.10049776684375548,True
U006776,287146.6351938284,6533454.326388488,-71.23672024949042,-31.31385400340845,2010,2008,2010,29_653,66,Shrubland,2010,0,121,0.12207215285858886,True
U006777,287130.18989302474,6527956.62014833,-71.2380664616184,-31.36341746909765,2010,2008,2010,29_653,66,Shrubland,2010,0,123,0.13690880022480742,True
U006778,294159.01111418527,6531473.1701146215,-71.1634863097276,-31.332979036364613,2010,2008,2010,29_653,66,Shrubland,2010,0,132,0.0993467091426079,True
U006779,293176.5240630362,6531901.958592663,-71.17371752190034,-31.328938536444294,2010,2008,2010,29_653,66,Shrubland,2010,0,126,0.11086080646857772,True
U006780,287994.22741271975,6527047.972927472,-71.22918146157366,-31.37176783559964,2010,2008,2010,29_653,66,Shrubland,2010,0,126,0.12203470520295882,True
U006781,290300.64990303223,6525750.012668038,-71.20521888569537,-31.383889335360585,2010,2008,2010,29_653,66,Shrubland,2010,0,126,0.02919027521064884,True
U006782,285494.36208274285,6530253.659513261,-71.25475949200552,-31.34240686951201,2010,2008,2010,29_653,12,Grassland,2010,0,118,0.0994323315429476,True
U006783,291952.2174489924,6534178.168490086,-71.18610267347788,-31.30819730352001,2010,2008,2010,29_653,12,Grassland,2010,0,128,0.04402185990302974,True
U006766,290809.0689732596,6529793.507079883,-71.19902630990661,-31.34752483607775,2021,2019,2021,29_653,66,Shrubland,2021,0,173,0.08533621307661204,True
U006767,285861.0725474707,6527363.057136666,-71.25152858289833,-31.368535435663382,2021,2019,2021,29_653,66,Shrubland,2021,0,118,0.11367915015289475,True
U006768,287242.36345834547,6527480.867017351,-71.236989491916,-31.367727335679323,2021,2019,2021,29_653,66,Shrubland,2021,0,130,0.34226784703221025,True
U006769,294529.5956390182,6529568.413184446,-71.15998615819481,-31.35021850269129,2021,2019,2021,29_653,66,Shrubland,2021,0,189,0.08750154764775307,True
U006770,291024.1516355525,6531859.258745321,-71.19633388565063,-31.328938536444294,2021,2019,2021,29_653,66,Shrubland,2021,0,170,0.09933900372058412,True
U006771,285333.38600103126,6529354.03789968,-71.25664418898471,-31.350487869352644,2021,2019,2021,29_653,66,Shrubland,2021,0,113,0.04248555904104845,True
U006772,291962.14491353824,6532385.812430103,-71.18637191590348,-31.324359303201277,2021,2019,2021,29_653,66,Shrubland,2021,0,185,0.2745167791190887,True
U006773,291377.4762927612,6530850.511326505,-71.19283373411784,-31.338097002930347,2021,2019,2021,29_653,12,Grassland,2021,0,180,0.053689221185771914,True
U006774,294651.168057573,6525985.728697697,-71.15944767334362,-31.382542502053813,2021,2019,2021,29_653,3,Forest,2021,0,202,0.27157239673272743,True
U006784,286950.713761134,6544556.340024751,-71.23641476354463,-31.21372291966804,2006,2004,2006,29_654,66,Shrubland,2006,0,111,0.06731372894720082,True
U006785,294067.25861115474,6540783.990424477,-71.1625319272348,-31.24901305071772,2006,2004,2006,29_654,66,Shrubland,2006,0,169,0.057340971615346105,True
U006786,294094.3493524716,6536780.894558337,-71.16307121801078,-31.28511135270747,2006,2004,2006,29_654,66,Shrubland,2006,0,165,0.027648921950926678,True
U006787,290292.9735902953,6540649.620645856,-71.20216979926963,-31.249551831344437,2006,2004,2006,29_654,66,Shrubland,2006,0,166,0.08381364418511351,True
U006788,289805.6212801347,6543179.564928347,-71.2067537708655,-31.226653654709143,2006,2004,2006,29_654,66,Shrubland,2006,0,147,0.05583528116001616,True
U006789,287436.6537845224,6540861.164251557,-71.23210043733675,-31.247127318524228,2006,2004,2006,29_654,66,Shrubland,2006,0,134,0.04755495778474747,True
U006790,294167.7056328444,6539590.848407857,-71.16172299107082,-31.25978866325197,2006,2004,2006,29_654,66,Shrubland,2006,0,157,0.033335947912041086,True
U006791,289446.5797646204,6541857.727378373,-71.21079845168538,-31.238506828496824,2006,2004,2006,29_654,12,Grassland,2006,0,150,0.15731566764201027,True
U006792,286571.7219834841,6542965.06739166,-71.2407290897525,-31.228000606275927,2006,2004,2006,29_654,12,Grassland,2006,0,119,0.034388431259392824,True
U006793,294780.5248828606,6538467.483352564,-71.155521147147,-31.27002549515952,2019,2017,2019,29_654,66,Shrubland,2019,0,184,0.1229913561482414,True
U006794,292473.0033371065,6544756.2865552325,-71.17844100512633,-31.21291474872797,2019,2017,2019,29_654,66,Shrubland,2019,0,159,0.16046365504901214,True
U006795,288528.8150736375,6544050.34298906,-71.2199663948771,-31.21857194530845,2019,2017,2019,29_654,66,Shrubland,2019,0,109,0.14070517899145496,True
U006796,284988.03519554273,6537464.842533667,-71.25852568535998,-31.27729903362014,2019,2017,2019,29_654,66,Shrubland,2019,0,100,0.15424461496105385,True
U006797,287552.40327290224,6541490.964445122,-71.23075221039679,-31.241470121943745,2019,2017,2019,29_654,66,Shrubland,2019,0,109,0.14002446001355184,True
U006798,290230.3546662135,6542500.83747413,-71.20243944465763,-31.23284963191634,2019,2017,2019,29_654,66,Shrubland,2019,0,120,0.0905695518062772,True
U006799,292250.2277830241,6540419.580139292,-71.18167674978223,-31.251976344164643,2019,2017,2019,29_654,66,Shrubland,2019,0,164,0.2150812483793633,True
U006800,289821.1699119359,6543687.809818216,-71.2064841254775,-31.222074019382088,2019,2017,2019,29_654,12,Grassland,2019,0,109,0.06640254827580827,True
U006801,294403.49227058765,6544614.899962375,-71.15821760102692,-31.214531090608112,2019,2017,2019,29_654,3,Forest,2019,0,191,0.14588928191736972,True
U006802,293243.4733175398,6550857.279529799,-71.16910290033105,-31.15804199830815,2019,2017,2019,29_655,12,Grassland,2019,0,143,0.04882143830935942,True
U006803,291926.1884553352,6553819.407640854,-71.1823020978156,-31.131100606209014,2022,2020,2022,29_655,12,Grassland,2022,0,124,0.029016272320169775,True
U006805,287341.7602775891,6562084.965582637,-71.22861245274096,-31.05575304111968,2021,2019,2021,29_656,12,Grassland,2021,0,105,0.05500774859371886,True
U006804,287938.1691621632,6561887.739400437,-71.22240755591919,-31.057639103510688,2022,2020,2022,29_656,12,Grassland,2022,0,110,0.027216992018680122,True
U006806,286998.4272863934,6568671.461469516,-71.23082316869804,-30.99630488062007,2010,2008,2010,29_657,12,Grassland,2010,0,68,0.053019794086433855,True
