run_id,family,features,index,substrate,fusion,model,facet,n_targets,R2,R2_min,R2_max,nRMSE,nBias,nBias_abs,spearman
RF01_lsp-topo-area_nbr,RF,lsp+topo+area,nbr,,none,RF,beta_cover,3,0.31450862509553124,0.2605700409678314,0.37785203335120454,0.21658242754535942,0.006987561480427351,0.016035054502638518,0.5783074393397375
RF01_lsp-topo-area_evi,RF,lsp+topo+area,evi,,none,RF,beta_cover,3,0.3133486550022339,0.27057867909152483,0.3682969329498051,0.2168959478272201,0.00659924420210085,0.01860734758489133,0.5686810042676838
MLP05c_curve_kndvi,MLP,curve,kndvi,tabular,late,MLP-C,beta_cover,3,0.31334199551890335,0.24883500958121849,0.3541131603059426,0.21679615569453178,0.0012484444481734606,0.014479781825721674,0.5810708748728688
RF01_lsp-topo-area_savi,RF,lsp+topo+area,savi,,none,RF,beta_cover,3,0.31092421353852306,0.274931511585708,0.36080354765767314,0.21735363137935818,0.007325485368704768,0.019297779622957253,0.5679031690866531
RF02_lsp-qc-topo-area_savi,RF,lsp+qc+topo+area,savi,,none,RF,beta_cover,3,0.31081543768561565,0.27652272563462055,0.3579560364030559,0.21739700852692287,0.007892526299492093,0.019543272279962397,0.5694095442895682
MLP02_curve_kndvi,MLP,curve,kndvi,tabular,late,MLP-B,beta_cover,3,0.3107496126812938,0.2628885437236205,0.34537432791918726,0.217366582988562,0.003406981295647567,0.015251043824642692,0.5788375149406528
RF08_lsp-curve-topo_kndvi,RF,lsp+curve+topo,kndvi,,none,RF,beta_cover,3,0.3105649651356824,0.26269354894788766,0.35077418086137574,0.21767993442360078,0.008155610602051088,0.018025910970796238,0.5634376611350337
C2D02_serpentine_kndvi_ctxclim-topo-area,C2D,clim+topo+area,kndvi,serpentine,late,C2D-B,beta_cover,3,0.3080334991496277,0.24404510703563248,0.35834829647465505,0.21770403894881954,0.0016834742964832274,0.014162029565736553,0.5843200023493682
MLP02_curve_nbr,MLP,curve,nbr,tabular,late,MLP-B,beta_cover,3,0.3078578177125032,0.22362536072805617,0.36214445202142986,0.21741695304683897,0.002125028970296783,0.015079392998985185,0.5811513258329374
RF08_lsp-curve-topo_ndvi,RF,lsp+curve+topo,ndvi,,none,RF,beta_cover,3,0.3061076985276597,0.25648148058194264,0.3491876762825856,0.21836227448762888,0.0070393208187960014,0.01799577994786664,0.5564533465997064
MLP04_curve_all,MLP,curve_all,,tabular,late,MLP-A,beta_cover,3,0.3060306993389758,0.23972671529836634,0.3467706950049832,0.21797145773941462,0.0031200392859149742,0.013232398490543038,0.5828378586391704
C2D01_reshape_kndvi_ctxclim-topo-area,C2D,clim+topo+area,kndvi,reshape,late,C2D-B,beta_cover,3,0.3042595643722881,0.2495081250555761,0.3393667723383858,0.2183774618554787,-0.00024712403942739005,0.014283757496045836,0.5836792203788325
MLP05a_curve_kndvi,MLP,curve,kndvi,tabular,late,MLP-A,beta_cover,3,0.30418043447910154,0.24533472660805936,0.3375262684294466,0.2183261778908223,0.00525225470169476,0.01660297520084408,0.5746985023142678
C2D07_hilbert_kndvi_wX,C2D,topo+area,kndvi,hilbert,late,C2D-X,beta_cover,3,0.30301118452624415,0.2707689087876335,0.34430540171245044,0.21861586754979712,-0.00277497799537149,0.008184513505874463,0.5676550018922693
C1D01_curve1d_kndvi_ctxclim-topo-area,C1D,clim+topo+area,kndvi,curve1d,late,C1D-B,beta_cover,3,0.3005566198937389,0.2573974053928209,0.32953014699206645,0.21905435546733185,0.001452538860110083,0.014351147907355158,0.5801378845766659
MLP02_curve_evi,MLP,curve,evi,tabular,late,MLP-B,beta_cover,3,0.29996569317011884,0.22256922673778987,0.34770485785816735,0.2187718991664432,0.001966400364930488,0.012611742105233697,0.5666262742699907
C2D02_serpentine_kndvi_noaug,C2D,topo+area,kndvi,serpentine,late,C2D-B,beta_cover,3,0.29954481272978634,0.2616010664095545,0.32333928583470223,0.21926691157687475,0.0016516763606824337,0.015007196532584437,0.5631577294551984
MLP02_curve_ndvi,MLP,curve,ndvi,tabular,late,MLP-B,beta_cover,3,0.2975042330330702,0.23875235514066373,0.3271744137400721,0.21938623363311419,0.002490423613918432,0.015443287000905867,0.5643011233572114
C2D01_reshape_nbr,C2D,topo+area,nbr,reshape,late,C2D-B,beta_cover,3,0.2974882495286258,0.21141296685417876,0.34063880182480827,0.21909519102630884,0.0007091913568372353,0.010594567311385044,0.567872331202559
C2D07_hilbert_kndvi_wC,C2D,topo+area,kndvi,hilbert,late,C2D-C,beta_cover,3,0.2930875036180997,0.2615126382448392,0.3096204455713708,0.22031298541552846,5.593589994889204e-05,0.015341089076714462,0.5603605268464692
C2D02_serpentine_nbr,C2D,topo+area,nbr,serpentine,late,C2D-B,beta_cover,3,0.2843353831334739,0.19258552437691834,0.3397960433115153,0.22104075770969497,0.0016034709937111835,0.011776585085611926,0.5573468777655561
MLP02_curve_savi,MLP,curve,savi,tabular,late,MLP-B,beta_cover,3,0.283494413908797,0.19872419218241455,0.3344242148561501,0.22125863866727094,0.005697705413822613,0.0165920962871736,0.5544724010597255
C2D07_hilbert_nbr,C2D,topo+area,nbr,hilbert,late,C2D-B,beta_cover,3,0.283217488239774,0.1943720441233332,0.33010391004709055,0.22127603464719356,0.0020243773541885313,0.012803992687214693,0.5591190495702323
C2D02_serpentine_kndvi_wC,C2D,topo+area,kndvi,serpentine,late,C2D-C,beta_cover,3,0.2818770633658506,0.24670672064546476,0.30757976870359965,0.22203661800592833,0.0001845055151629501,0.016150991332644714,0.5608067991958818
C2D02_serpentine_kndvi_wX,C2D,topo+area,kndvi,serpentine,late,C2D-X,beta_cover,3,0.2812975218458708,0.24376186826743038,0.3052602208608135,0.22212057318007095,0.0007371576933385265,0.01254117844097107,0.5579554435700727
MLP01_lsp_nbr,MLP,lsp,nbr,tabular,late,MLP-B,beta_cover,3,0.27960101346130833,0.2043269222064017,0.34582450530105663,0.22188638511625544,0.002498010984014551,0.01270045943907266,0.5401904709897493
C1D02_curve5,C1D,topo+area,,curve5,late,C1D-B,beta_cover,3,0.2782116615237811,0.2436793351595676,0.3203570132611771,0.22251010450802267,0.002901296163080699,0.010233213942640968,0.5429918660216745
C2D02_serpentine_kndvi_mixup,C2D,topo+area,kndvi,serpentine,late,C2D-B,beta_cover,3,0.2750783151750888,0.23167880505564897,0.30499331009277925,0.22304153318169326,0.0016776683941882697,0.017739817541312597,0.5463143339772838
C2D07_hilbert_kndvi_nperSample,C2D,topo+area,kndvi,hilbert,late,C2D-B,beta_cover,3,0.27507616753682024,0.2353302731864085,0.30333592825859024,0.22308302864483495,0.0009641579683609532,0.012916182688129814,0.5260983249365005
C2D02_serpentine_kndvi_nperSample,C2D,topo+area,kndvi,serpentine,late,C2D-B,beta_cover,3,0.27468146799068033,0.21014190754159964,0.3127156484845892,0.2228647064788538,0.001975636697534733,0.011230104727905999,0.5284775037564328
C2D02_serpentine_kndvi,C2D,topo+area,kndvi,serpentine,late,C2D-B,beta_cover,3,0.2742965896514474,0.2249157379341938,0.3180166824292479,0.2231296249724233,0.0004948466965015946,0.016006385558930365,0.5467676308010241
C2D07_hilbert_kndvi_calendar,C2D,topo+area,kndvi,hilbert,late,C2D-B,beta_cover,3,0.273374336549797,0.2302346771340672,0.30502000352939257,0.22332201875696925,0.0013768936630618837,0.015635112808015102,0.5486744978549839
C2D07_hilbert_kndvi,C2D,topo+area,kndvi,hilbert,late,C2D-B,beta_cover,3,0.2723673122353079,0.23910923921838467,0.29734826669889597,0.22350602371953676,0.0018434958041330864,0.017243647479431135,0.5423999606339617
C2D02_serpentine_ndvi,C2D,topo+area,ndvi,serpentine,late,C2D-B,beta_cover,3,0.2695849324442347,0.23649437050895616,0.31701286686133434,0.2240129839307952,0.0008396529455210675,0.01624986175542956,0.5427304762866264
C2D07_hilbert_ndvi,C2D,topo+area,ndvi,hilbert,late,C2D-B,beta_cover,3,0.26927027911727447,0.2288780209402972,0.2959414663157265,0.2239702187676814,0.001429763598603925,0.015945620670276415,0.5354724379589156
C2D02_serpentine_kndvi_film,C2D,topo+area,kndvi,serpentine,film,C2D-B,beta_cover,3,0.26421783046500186,0.20710165233162656,0.3067253184784003,0.2245030587033401,-0.000985661302004216,0.017908937128594548,0.538569004912469
C2D01_reshape_kndvi,C2D,topo+area,kndvi,reshape,late,C2D-B,beta_cover,3,0.26414094696491286,0.20982648014455418,0.3002661354813,0.22454978501061293,0.0006906715704195519,0.015035758002184504,0.5396908907656561
C2D01_reshape_ndvi,C2D,topo+area,ndvi,reshape,late,C2D-B,beta_cover,3,0.26331275582989483,0.2039646854510175,0.314112514054879,0.22469489080249846,0.0003651318859801018,0.013209962516137033,0.5393498962914366
C2D02_serpentine_kndvi_calendar,C2D,topo+area,kndvi,serpentine,late,C2D-B,beta_cover,3,0.26183489041178787,0.20990158250946497,0.293716208679428,0.22501196968941686,0.0012620187735312772,0.017658837445611204,0.5415006508631882
